OBJECTID,EVT_RT,EVT_RIN,EVT_DATE,LOCATION,RUCR,RUCR_EXT_D,x,y
49,GO,1508466,3/28/2026 12:00:00 AM,WYSE RD,1610,ROBBERY,-7078143.88446891,5570333.29443427
50,GO,1508447,3/28/2026 12:00:00 AM,WALKER AVE,1430,ASSAULT
51,GO,1508214,3/27/2026 12:00:00 AM,LARRY UTECK BLVD,2142,THEFT FROM VEHICLE,-7087090.09580586,5574182.49454806
52,GO,1508393,3/28/2026 12:00:00 AM,NEWBERRY CRT,1430,ASSAULT,-7073101.50820583,5566693.82019588
53,GO,1508496,3/28/2026 12:00:00 AM,LAWRENCETOWN RD,1430,ASSAULT,-7062236.3199602,5571790.36144669
54,GO,1508508,3/28/2026 12:00:00 AM,MAYNARD ST,2120,BREAK AND ENTER,-7078883.96279967,5567360.36995048
55,GO,1508599,3/28/2026 12:00:00 AM,CHEBUCTO RD,2142,THEFT FROM VEHICLE,-7082122.28523251,5565413.75083302
56,GO,1508348,3/28/2026 12:00:00 AM,ST MARGARETS BAY RD,1420,ASSAULT,-7092412.18000457,5565829.38687763
57,GO,1508371,3/28/2026 12:00:00 AM,BARRINGTON ST,2135,THEFT OF VEHICLE,-7079983.11552197,5569559.11474698
58,GO,1508419,3/28/2026 12:00:00 AM,LAKEFRONT RD,1420,ASSAULT,-7074449.22413537,5569791.99705191
59,GO,1508412,3/28/2026 12:00:00 AM,PORTLAND ST,1420,ASSAULT,-7072361.31229783,5569754.45436163
60,GO,1508498,3/28/2026 12:00:00 AM,LYNNETT RD,1420,ASSAULT,-7080895.04289573,5559125.73294094
61,GO,1508522,3/28/2026 12:00:00 AM,UNIVERSITY AVE,1430,ASSAULT,-7078009.69511327,5564549.73896808
62,GO,1508503,3/28/2026 12:00:00 AM,GRAFTON ST,1430,ASSAULT,-7077210.01570173,5566178.89039257
63,GO,1508477,3/28/2026 12:00:00 AM,SOUTH PARK ST,1430,ASSAULT,-7077633.05751368,5565285.36790181
64,GO,1508411,3/28/2026 12:00:00 AM,COWIE HILL RD,2142,THEFT FROM VEHICLE,-7082422.35952917,5562331.66266667
65,GO,1508417,3/28/2026 12:00:00 AM,SPRING GARDEN RD,1430,ASSAULT,-7077210.59217175,5565447.13362691
66,GO,1508653,3/29/2026 12:00:00 AM,CHARLES ST,2135,THEFT OF VEHICLE,-7078995.6013425,5567346.54900905
67,GO,1508607,3/29/2026 12:00:00 AM,AGRICOLA ST,1420,ASSAULT,-7078892.56074843,5567123.03161493
68,GO,1508517,3/29/2026 12:00:00 AM,GRAFTON ST,1430,ASSAULT,-7077210.01570173,5566178.89039257
69,GO,1508610,3/29/2026 12:00:00 AM,COW BAY RD,2120,BREAK AND ENTER,-7065733.09839899,5560689.50188734
70,GO,1508635,3/29/2026 12:00:00 AM,ALBRO LAKE RD,1430,ASSAULT,-7077733.22862235,5571719.22427071
71,GO,1508745,3/29/2026 12:00:00 AM,THORNHILL DR,2120,BREAK AND ENTER,-7079012.83630028,5573766.92944403
72,GO,1508675,3/29/2026 12:00:00 AM,JOHNSON LOOP RD,1420,ASSAULT,-7117118.47917172,5544594.34292446
73,GO,1508666,3/29/2026 12:00:00 AM,ROBIE ST,1430,ASSAULT,-7078724.81366239,5565836.41869651
